Date,FSDI Ch 54,FSDI Ch 55,FSDI Ch 56,FSDI Ch 57,FSDI Ch 58,FSDI Ch 59,FSDI Ch Ch 60,MDI1 Ch 1 (12-3pm),FSDI Ch 61,MDI1 Ch 2 (9-12pm),FSDI Ch 62,MDI1 Ch 3 (12-3pm),FSDI Ch 63,MDI1 Ch 4 (9-12pm),FSDI Ch 64
"Monday, 07/28/25",,FSDI 120,,FSDI 115,,FSDI 107,,MDI-1 104,,,,,,,
"Tuesday, 07/29/25",,,FSDI 118,,FSDI 111,,FSDI 104,,,,,,,,
"Wednesday, 07/30/25",,FSDI 120,,FSDI 115,,FSDI 107,,MDI-1 104,,,,,,,
"Thursday, 07/31/25",,,FSDI 118,,FSDI 111,,FSDI 104,,,,,,,,
"Friday, 08/01/25",,,,,,,,,,,,,,,
"Saturday (9 am - 12 pm), 08/02/25",,,FSDI 118,,FSDI 112,,FSDI 104,,,,,,,,
"Saturday (12 pm - 3 pm), 08/02/25",,FSDI 120,,FSDI 115,,FSDI 108,,MDI-1 104,,,,,,,
"Sunday, 08/03/25",,FSDI 120,,,,,,,,,,,,,
"Monday, 08/04/25",,,,FSDI 116,,FSDI 108,,MDI-1 104,FSDI 101,,,,,,
"Tuesday, 08/05/25",,,FSDI 118,,FSDI 112,,FSDI 104,,,MDI-1 101,,,,,
"Wednesday, 08/06/25",,,,FSDI 116,,FSDI 108,,MDI-1 105,FSDI 101,,,,,,
"Thursday, 08/07/25",,,FSDI 119,,FSDI 112,,FSDI 105,,,MDI-1 101,,,,,
"Friday, 08/08/25",,,,,FSDI 112,,,,,,,,,,
"Saturday (9 am - 12 pm), 08/09/25",,,FSDI 119,,,,FSDI 105,,,MDI-1 101,,,,,
"Saturday (12 pm - 3 pm), 08/09/25",,,,FSDI 116,,FSDI 108,,MDI-1 105,FSDI 101,,,,,,
"Sunday, 08/10/25",,,,,,,,,,,,,,,
"Monday, 08/11/25",,,,FSDI 116,,FSDI 109,,MDI-1 105,FSDI 101,,,,,,
"Tuesday, 08/12/25",,,FSDI 119,,FSDI 113,,FSDI 105,,,MDI-1 101,,,,,
"Wednesday, 08/13/25",,,,FSDI 117,,FSDI 109,,MDI-1 105,FSDI 102,,,,,,
"Thursday, 08/14/25",,,FSDI 119,,FSDI 113,,FSDI 105,,,MDI-1 102,,,,,
"Friday, 08/15/25",,,,,,,,,,,,,,,
"Saturday (9 am - 12 pm), 08/16/25",,,FSDI 119,,FSDI 113,,FSDI 106,,,MDI-1 102,,,,,
"Saturday (12 pm - 3 pm), 08/16/25",,,,FSDI 117,,FSDI 109,,MDI-1 106,FSDI 102,,,,,,
"Sunday, 08/17/25",,,,,,,,,,,,,,,
"Monday, 08/18/25",,,,FSDI 117,,FSDI 109,,MDI-1 106,FSDI 102,,,,,,
"Tuesday, 08/19/25",,,FSDI 119,,FSDI 113,,FSDI 106,,,MDI-1 102,,,,,
"Wednesday, 08/20/25",,,,FSDI 117,,FSDI 110,,MDI-1 106,FSDI 102,,,,,,
"Thursday, 08/21/25",,,FSDI 120,,FSDI 114,,FSDI 106,,,MDI-1 102,,,,,
"Friday, 08/22/25",,,,,,,,,,,,,,,
"Saturday (9 am - 12 pm), 08/23/25",,,FSDI 120,,FSDI 114,,FSDI 106,,,MDI-1 103,,,,,
"Saturday (12 pm - 3 pm), 08/23/25",,,,FSDI 117,,FSDI 110,,MDI-1 106,FSDI 103,,,,,,
"Sunday, 08/24/25",,,,,,,,,,,,,,,
"Monday, 08/25/25",,,,FSDI 117,,FSDI 110,,MDI-1 107,FSDI 103,,,,,,
"Tuesday, 08/26/25",,,FSDI 120,,FSDI 114,,FSDI 107,,,MDI-1 103,,,,,
"Wednesday, 08/27/25",,,,FSDI 118,,FSDI 110,,MDI-1 107,FSDI 103,,,,,,
"Thursday, 08/28/25",,,FSDI 120,,FSDI 114,,FSDI 107,,,MDI-1 103,,,,,
"Friday, 08/29/25",,,,,,,,,,,,,,,
"Saturday (9 am - 12 pm), 08/30/25",,,FSDI 120,,FSDI 115,,FSDI 107,,,MDI-1 103,,,,,
"Saturday (12 pm - 3 pm), 08/30/25",,,,FSDI 118,,FSDI 111,,MDI-1 107,FSDI 103,,,,,,
"Sunday, 08/31/25",,,,,,,,,,,,,,,
"Monday, 09/01/25",,,,,,,,,,,,,,,
"Tuesday, 09/02/25",,,FSDI 120,,FSDI 115,,FSDI 107,,,MDI-1 104,,,,,
